 0  0.0 0.0
 1  0.0 1.0
 2  0.0 2.0
 3  0.0 3.0
 4  0.0 4.0
 5  0.0 5.0
 6  0.0 6.0
 7  0.0 7.0
 8  0.0 8.0
 9  0.0 9.0
 10  0.0 10.0
 11  0.0 11.0
 12  0.0 12.0
 13  0.0 13.0
 14  0.0 14.0
 15  0.0 15.0
 16  0.0 16.0
 17  0.0 17.0
 18  0.0 18.0
 19  0.0 19.0
 20  0.0 20.0
 21  0.0 21.0
 22  0.0 22.0
 23  0.0 23.0
 24  0.0 24.0
 25  0.0 25.0
 26  0.0 26.0
 27  0.0 27.0
 28  0.0 28.0
 29  0.0 29.0
 30  1.0 0.0
 31  1.0 1.0
 32  1.0 2.0
 33  1.0 3.0
 34  1.0 4.0
 35  1.0 5.0
 36  1.0 6.0
 37  1.0 7.0
 38  1.0 8.0
 39  1.0 9.0
 40  1.0 10.0
 41  1.0 11.0
 42  1.0 12.0
 43  1.0 13.0
 44  1.0 14.0
 45  1.0 15.0
 46  1.0 16.0
 47  1.0 17.0
 48  1.0 18.0
 49  1.0 19.0
 50  1.0 20.0
 51  1.0 21.0
 52  1.0 22.0
 53  1.0 23.0
 54  1.0 24.0
 55  1.0 25.0
 56  1.0 26.0
 57  1.0 27.0
 58  1.0 28.0
 59  1.0 29.0
 60  2.0 0.0
 61  2.0 1.0
 62  2.0 2.0
 63  2.0 3.0
 64  2.0 4.0
 65  2.0 5.0
 66  2.0 6.0
 67  2.0 7.0
 68  2.0 8.0
 69  2.0 9.0
 70  2.0 10.0
 71  2.0 11.0
 72  2.0 12.0
 73  2.0 13.0
 74  2.0 14.0
 75  2.0 15.0
 76  2.0 16.0
 77  2.0 17.0
 78  2.0 18.0
 79  2.0 19.0
 80  2.0 20.0
 81  2.0 21.0
 82  2.0 22.0
 83  2.0 23.0
 84  2.0 24.0
 85  2.0 25.0
 86  2.0 26.0
 87  2.0 27.0
 88  2.0 28.0
 89  2.0 29.0
 90  3.0 0.0
 91  3.0 1.0
 92  3.0 2.0
 93  3.0 3.0
 94  3.0 4.0
 95  3.0 5.0
 96  3.0 6.0
 97  3.0 7.0
 98  3.0 8.0
 99  3.0 9.0
 100  3.0 10.0
 101  3.0 11.0
 102  3.0 12.0
 103  3.0 13.0
 104  3.0 14.0
 105  3.0 15.0
 106  3.0 16.0
 107  3.0 17.0
 108  3.0 18.0
 109  3.0 19.0
 110  3.0 20.0
 111  3.0 21.0
 112  3.0 22.0
 113  3.0 23.0
 114  3.0 24.0
 115  3.0 25.0
 116  3.0 26.0
 117  3.0 27.0
 118  3.0 28.0
 119  3.0 29.0
 120  4.0 0.0
 121  4.0 1.0
 122  4.0 2.0
 123  4.0 3.0
 124  4.0 4.0
 125  4.0 5.0
 126  4.0 6.0
 127  4.0 7.0
 128  4.0 8.0
 129  4.0 9.0
 130  4.0 10.0
 131  4.0 11.0
 132  4.0 12.0
 133  4.0 13.0
 134  4.0 14.0
 135  4.0 15.0
 136  4.0 16.0
 137  4.0 17.0
 138  4.0 18.0
 139  4.0 19.0
 140  4.0 20.0
 141  4.0 21.0
 142  4.0 22.0
 143  4.0 23.0
 144  4.0 24.0
 145  4.0 25.0
 146  4.0 26.0
 147  4.0 27.0
 148  4.0 28.0
 149  4.0 29.0
 150  5.0 0.0
 151  5.0 1.0
 152  5.0 2.0
 153  5.0 3.0
 154  5.0 4.0
 155  5.0 16.0
 156  5.0 17.0
 157  5.0 18.0
 158  5.0 19.0
 159  6.0 0.0
 160  6.0 1.0
 161  6.0 2.0
 162  6.0 3.0
 163  6.0 4.0
 164  6.0 16.0
 165  6.0 17.0
 166  6.0 18.0
 167  6.0 19.0
 168  7.0 0.0
 169  7.0 1.0
 170  7.0 2.0
 171  7.0 3.0
 172  7.0 4.0
 173  7.0 16.0
 174  7.0 17.0
 175  7.0 18.0
 176  7.0 19.0
 177  8.0 0.0
 178  8.0 1.0
 179  8.0 2.0
 180  8.0 3.0
 181  8.0 4.0
 182  8.0 16.0
 183  8.0 17.0
 184  8.0 18.0
 185  8.0 19.0
 186  9.0 0.0
 187  9.0 1.0
 188  9.0 2.0
 189  9.0 3.0
 190  9.0 4.0
 191  9.0 16.0
 192  9.0 17.0
 193  9.0 18.0
 194  9.0 19.0
 195  10.0 0.0
 196  10.0 1.0
 197  10.0 2.0
 198  10.0 3.0
 199  10.0 4.0
 200  10.0 16.0
 201  10.0 17.0
 202  10.0 18.0
 203  10.0 19.0
 204  11.0 0.0
 205  11.0 1.0
 206  11.0 2.0
 207  11.0 3.0
 208  11.0 4.0
 209  11.0 16.0
 210  11.0 17.0
 211  11.0 18.0
 212  11.0 19.0
 213  12.0 0.0
 214  12.0 1.0
 215  12.0 2.0
 216  12.0 3.0
 217  12.0 4.0
 218  12.0 16.0
 219  12.0 17.0
 220  12.0 18.0
 221  12.0 19.0
 222  13.0 0.0
 223  13.0 1.0
 224  13.0 2.0
 225  13.0 3.0
 226  13.0 4.0
 227  13.0 16.0
 228  13.0 17.0
 229  13.0 18.0
 230  13.0 19.0
 231  14.0 0.0
 232  14.0 1.0
 233  14.0 2.0
 234  14.0 3.0
 235  14.0 4.0
 236  14.0 16.0
 237  14.0 17.0
 238  14.0 18.0
 239  14.0 19.0
 240  15.0 0.0
 241  15.0 1.0
 242  15.0 2.0
 243  15.0 3.0
 244  15.0 4.0
 245  15.0 16.0
 246  15.0 17.0
 247  15.0 18.0
 248  15.0 19.0
 249  16.0 0.0
 250  16.0 1.0
 251  16.0 2.0
 252  16.0 3.0
 253  16.0 4.0
 254  16.0 5.0
 255  16.0 6.0
 256  16.0 7.0
 257  16.0 8.0
 258  16.0 9.0
 259  16.0 10.0
 260  16.0 11.0
 261  16.0 12.0
 262  16.0 13.0
 263  16.0 14.0
 264  16.0 15.0
 265  16.0 16.0
 266  16.0 17.0
 267  16.0 18.0
 268  16.0 19.0
 269  16.0 20.0
 270  16.0 21.0
 271  16.0 22.0
 272  16.0 23.0
 273  16.0 24.0
 274  16.0 25.0
 275  16.0 26.0
 276  16.0 27.0
 277  16.0 28.0
 278  16.0 29.0
 279  17.0 0.0
 280  17.0 1.0
 281  17.0 2.0
 282  17.0 3.0
 283  17.0 4.0
 284  17.0 5.0
 285  17.0 6.0
 286  17.0 7.0
 287  17.0 8.0
 288  17.0 9.0
 289  17.0 10.0
 290  17.0 11.0
 291  17.0 12.0
 292  17.0 13.0
 293  17.0 14.0
 294  17.0 15.0
 295  17.0 16.0
 296  17.0 17.0
 297  17.0 18.0
 298  17.0 19.0
 299  17.0 20.0
 300  17.0 21.0
 301  17.0 22.0
 302  17.0 23.0
 303  17.0 24.0
 304  17.0 25.0
 305  17.0 26.0
 306  17.0 27.0
 307  17.0 28.0
 308  17.0 29.0
 309  18.0 0.0
 310  18.0 1.0
 311  18.0 2.0
 312  18.0 3.0
 313  18.0 4.0
 314  18.0 5.0
 315  18.0 6.0
 316  18.0 7.0
 317  18.0 8.0
 318  18.0 9.0
 319  18.0 10.0
 320  18.0 11.0
 321  18.0 12.0
 322  18.0 13.0
 323  18.0 14.0
 324  18.0 15.0
 325  18.0 16.0
 326  18.0 17.0
 327  18.0 18.0
 328  18.0 19.0
 329  18.0 20.0
 330  18.0 21.0
 331  18.0 22.0
 332  18.0 23.0
 333  18.0 24.0
 334  18.0 25.0
 335  18.0 26.0
 336  18.0 27.0
 337  18.0 28.0
 338  18.0 29.0
 339  19.0 0.0
 340  19.0 1.0
 341  19.0 2.0
 342  19.0 3.0
 343  19.0 4.0
 344  19.0 5.0
 345  19.0 6.0
 346  19.0 7.0
 347  19.0 8.0
 348  19.0 9.0
 349  19.0 10.0
 350  19.0 11.0
 351  19.0 12.0
 352  19.0 13.0
 353  19.0 14.0
 354  19.0 15.0
 355  19.0 16.0
 356  19.0 17.0
 357  19.0 18.0
 358  19.0 19.0
 359  19.0 20.0
 360  19.0 21.0
 361  19.0 22.0
 362  19.0 23.0
 363  19.0 24.0
 364  19.0 25.0
 365  19.0 26.0
 366  19.0 27.0
 367  19.0 28.0
 368  19.0 29.0
 369  20.0 0.0
 370  20.0 1.0
 371  20.0 2.0
 372  20.0 3.0
